buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.9000647,34.7843212,2010,426.7550354003906,185.4407196044922,241.31430053710938
10km,-91.9000647,34.7843212,2011,748.4957275390625,304.6208801269531,443.8748474121094
10km,-91.9000647,34.7843212,2012,469.752197265625,198.8408966064453,270.9112854003906
10km,-91.9000647,34.7843212,2013,494.90081787109375,209.07431030273438,285.8265075683594
10km,-91.9000647,34.7843212,2014,461.98870849609375,192.41368103027344,269.5750427246094
10km,-91.9000647,34.7843212,2015,487.5138244628906,196.5302734375,290.9835510253906
10km,-91.9000647,34.7843212,2016,434.0811462402344,180.2115936279297,253.8695831298828
10km,-91.9000647,34.7843212,2017,508.2272644042969,195.8232879638672,312.40399169921875
10km,-91.9000647,34.7843212,2018,569.495849609375,235.6228790283203,333.87298583984375
10km,-91.9000647,34.7843212,2019,652.065673828125,251.1018524169922,400.9638366699219
10km,-91.9000647,34.7843212,2020,545.4425048828125,211.9058837890625,333.5365905761719
10km,-91.9099238,31.7053083,1999,531.310791015625,297.3043518066406,234.00643920898438
10km,-91.9099238,31.7053083,2000,515.89715576171875,277.6969299316406,238.2002410888672
10km,-91.9099238,31.7053083,2001,685.5982666015625,365.59521484375,320.0030212402344
10km,-91.9099238,31.7053083,2002,560.2515869140625,293.33673095703125,266.9148864746094
10km,-91.9099238,31.7053083,2003,526.4227294921875,258.362548828125,268.0601501464844
10km,-91.9099238,31.7053083,2004,641.4393310546875,332.4358215332031,309.0035400390625
10km,-91.9099238,31.7053083,2005,479.4554138183594,240.1824951171875,239.2729034423828
10km,-91.9099238,31.7053083,2006,586.76336669921875,289.4446105957031,297.3187561035156
10km,-91.9099238,31.7053083,2007,448.40008544921875,214.79791259765625,233.60215759277344
10km,-91.9099238,31.7053083,2008,547.884033203125,262.9753723144531,284.9086608886719
10km,-91.9099238,31.7053083,2009,499.08392333984375,212.61422729492188,286.4696960449219
10km,-91.9099238,31.7053083,2010,404.99420166015625,184.30528259277344,220.68890380859375
10km,-91.9099238,31.7053083,2011,476.39813232421875,213.94847106933594,262.44964599609375
10km,-91.9099238,31.7053083,2012,607.64996337890625,266.9292297363281,340.720703125
10km,-91.9099238,31.7053083,2013,520.382080078125,223.9368133544922,296.4452819824219
10km,-91.9099238,31.7053083,2014,518.04083251953125,225.6464080810547,292.3945007324219
10km,-91.9099238,31.7053083,2015,495.4588317871094,203.69186401367188,291.7669982910156
10km,-91.9099238,31.7053083,2016,467.4490661621094,196.38177490234375,271.06732177734375
10km,-91.9099238,31.7053083,2017,491.5624694824219,196.9696044921875,294.5928649902344
10km,-91.9099238,31.7053083,2018,457.19134521484375,191.50949096679688,265.68182373046875
10km,-91.9099238,31.7053083,2019,601.9151611328125,227.37449645996094,374.5406494140625
10km,-91.9099238,31.7053083,2020,584.03265380859375,231.43228149414062,352.6004333496094
10km,-91.9099238,34.227351,1999,471.79534912109375,242.87779235839844,228.9175567626953
10km,-91.9099238,34.227351,2000,455.3651428222656,240.0159454345703,215.34918212890625
10km,-91.9099238,34.227351,2001,558.76947021484375,286.0845031738281,272.6849670410156
10km,-91.9099238,34.227351,2002,559.9178466796875,266.10821533203125,293.8096618652344
10km,-91.9099238,34.227351,2003,518.43707275390625,228.76397705078125,289.673095703125
10km,-91.9099238,34.227351,2004,555.8585205078125,278.3060302734375,277.552490234375
10km,-91.9099238,34.227351,2005,445.0144348144531,213.1499481201172,231.864501953125
